PARLAMENTAR;PARTIDO;UF;VOTO
ANDRÉ JANONES;AVANTE;MG;Não
BRUNO FARIAS;AVANTE;MG;Não
DELEGADA IONE;AVANTE;MG;Não
LUIS TIBÉ;AVANTE;MG;Não
WALDEMAR OLIVEIRA;AVANTE;PE;Não
GREYCE ELIAS;AVANTE;MG;Não Votou
PASTOR SARGENTO ISIDÓRIO;AVANTE;BA;Sim
ALEX MANENTE;CIDADANIA;SP;Não Votou
ANY ORTIZ;CIDADANIA;RS;Não Votou
AMOM MANDEL;CIDADANIA;AM;Sim
ARNALDO JARDIM;CIDADANIA;SP;Sim
DELEGADO PALUMBO;MDB;SP;Não
OSMAR TERRA;MDB;RS;Não
ACÁCIO FAVACHO;MDB;AP;Não Votou
CARLOS CHIODINI;MDB;SC;Não Votou
CLEBER VERDE;MDB;MA;Não Votou
ELCIONE BARBALHO;MDB;PA;Não Votou
HERCÍLIO COELHO DINIZ;MDB;MG;Não Votou
OTONI DE PAULA;MDB;RJ;Não Votou
RAFAEL BRITO;MDB;AL;Não Votou
RAFAEL PRUDENTE;MDB;DF;Não Votou
THIAGO FLORES;MDB;RO;Não Votou
ALBERTO MOURÃO;MDB;SP;Sim
ALCEU MOREIRA;MDB;RS;Sim
ANDREIA SIQUEIRA;MDB;PA;Sim
ANTÔNIO DOIDO;MDB;PA;Sim
AUGUSTO PUPPIO;MDB;AP;Sim
BALEIA ROSSI;MDB;SP;Sim
COBALCHINI;MDB;SC;Sim
DRA. ALESSANDRA HABER;MDB;PA;Sim
DUDA RAMOS;MDB;RR;Sim
EMANUEL PINHEIRO NETO;MDB;MT;Sim
EUNÍCIO OLIVEIRA;MDB;CE;Sim
FÁBIO TERUEL;MDB;SP;Sim
FLAVINHA;MDB;MT;Sim
GUTEMBERG REIS;MDB;RJ;Sim
HELENA LIMA;MDB;RR;Sim
HENDERSON PINTO;MDB;PA;Sim
ISNALDO BULHÕES JR.;MDB;AL;Sim
IZA ARRUDA;MDB;PE;Sim
JOSÉ PRIANTE;MDB;PA;Sim
KENISTON BRAGA;MDB;PA;Sim
LUCIO MOSQUINI;MDB;RO;Sim
MÁRCIO BIOLCHI;MDB;RS;Sim
MÁRCIO CORREA;MDB;GO;Sim
MARUSSA BOLDRIN;MDB;GO;Sim
NEWTON CARDOSO JR;MDB;MG;Sim
OLIVAL MARQUES;MDB;PA;Sim
PEZENTI;MDB;SC;Sim
RENILCE NICODEMOS;MDB;PA;Sim
RICARDO MAIA;MDB;BA;Sim
ROSEANA SARNEY;MDB;MA;Sim
SERGIO SOUZA;MDB;PR;Sim
SIMONE MARQUETTO;MDB;SP;Sim
ADRIANA VENTURA;NOVO;SP;Não
GILSON MARQUES;NOVO;SC;Não
MARCEL VAN HATTEM;NOVO;RS;Não
DR. FREDERICO;PATRIOTA;MG;Não
MARRECA FILHO;PATRIOTA;MA;Não
PEDRO AIHARA;PATRIOTA;MG;Não
FRED COSTA;PATRIOTA;MG;Não Votou
MÁRCIO JERRY;PCDOB;MA;Não
ALICE PORTUGAL;PCDOB;BA;Sim
DAIANA SANTOS;PCDOB;RS;Sim
DANIEL ALMEIDA;PCDOB;BA;Sim
JANDIRA FEGHALI;PCDOB;RJ;Sim
ORLANDO SILVA;PCDOB;SP;Sim
RENILDO CALHEIROS;PCDOB;PE;Sim
AFONSO MOTTA;PDT;RS;Não
ANDRÉ FIGUEIREDO;PDT;CE;Não
DORINALDO MALAFAIA;PDT;AP;Não
DUDA SALABERT;PDT;MG;Não
ENFERMEIRA ANA PAULA;PDT;CE;Não
FÉLIX MENDONÇA JÚNIOR;PDT;BA;Não
FLÁVIA MORAIS;PDT;GO;Não
IDILVAN ALENCAR;PDT;CE;Não
JOSENILDO;PDT;AP;Não
LEO PRATES;PDT;BA;Não
LEÔNIDAS CRISTINO;PDT;CE;Não
MÁRCIO HONAISER;PDT;MA;Não
MÁRIO HERINGER;PDT;MG;Não
